"Ticker","Nome","Negócios","Última (R$)","Variação"
"IRBR3","IRB Brasil RE","1.969.400","49,60","-2,30%"
"DIRR3","Direcional","1.942.100","26,76","+2,84%"
"AMER3","Americanas","1.895.500","6,35","-0,78%"
"RCSL4","Recrusul","1.894.400","0,69","-2,82%"
"DXCO3","Dexco","1.832.600","5,92","-2,15%"
"SMTO3","São Martinho","1.816.200","22,69","+0,00%"
"CBAV3","CBA","1.760.400","5,06","-0,39%"
"IGTI11","Jereissati Participações","1.755.200","17,03","-1,22%"
"IGTI11","Iguatemi","1.755.200","17,03","-1,22%"
"EVEN3","Even","1.661.700","5,66","+0,53%"
"RECV3","PetroRecôncavo","1.644.100","15,68","-0,82%"
"SBFG3","Grupo SBF","1.634.100","10,64","+0,76%"
"AZEV3","Azevedo & Travassos","1.604.400","1,23","+7,89%"
"PGMN3","Pague Menos","1.598.700","3,06","-1,61%"
"OIBR3","Oi","1.544.900","1,55","+1,97%"
"ALPA4","Alpargatas","1.513.600","6,13","+1,32%"
"CURY3","Cury","1.490.400","20,40","+2,00%"
"SMFT3","Smart Fit","1.261.000","18,68","+0,48%"
"EZTC3","EZTEC","1.221.700","11,42","+1,06%"
"PSSA3","Porto Seguro","1.209.100","38,00","-0,31%"
"CAML3","Camil Alimentos","1.192.100","4,69","-1,05%"
"VIVT3","Vivo","1.145.600","50,56","-0,57%"
"SBSP3","Sabesp","1.118.900","92,80","-0,22%"
"CPFE3","CPFL Energia","1.055.100","32,96","-0,57%"
"ZAMP3","Zamp","1.026.100","3,05","+2,35%"
"EGIE3","Engie","980.800","35,17","+0,06%"
"BPAN4","Banco Pan","977.800","6,78","+2,88%"
"VLID3","Valid","961.000","23,33","+4,20%"
"ODPV3","Odontoprev","906.200","10,71","+2,29%"
"AZZA3","Arezzo","905.300","31,80","-1,09%"
"BRSR6","Banrisul","900.400","9,92","+0,10%"
"KEPL3","Kepler Weber","892.700","9,95","+2,68%"
"MYPK3","Iochpe-Maxion","866.400","13,42","-1,18%"
"CSMG3","COPASA","858.200","21,48","-0,79%"
"PMAM3","Paranapanema","825.200","1,22","-7,58%"
"SEER3","Ser Educacional","808.600","4,62","+5,72%"
"CLSA3","ClearSale","792.500","10,12","-0,10%"
"MDNE3","Moura Dubeux","781.600","11,38","+2,89%"
"PORT3","Wilson Sons","773.900","16,76","+0,54%"
"OPCT3","OceanPact","764.400","5,60","+1,08%"
"ELET6","Eletrobras","752.500","38,64","-0,36%"
"ENJU3","Enjoei","748.900","1,22","+5,17%"
"GRND3","Grendene","740.000","5,56","+0,72%"
"KLBN4","Klabin","724.100","4,34","+0,46%"
"MILS3","Mills","709.800","8,80","+2,33%"
"VULC3","Vulcabras","707.400","16,79","+0,72%"
"GUAR3","Guararapes","689.500","6,28","+3,29%"
"JSLG3","JSL","685.100","5,17","-1,52%"
"POSI3","Positivo","684.400","5,45","-1,80%"
"SAPR4","Sanepar","676.100","5,13","+0,59%"
"MTRE3","Mitre Realty","604.500","3,10","-0,96%"
"SYNE3","SYN","597.200","4,92","+1,44%"
"RANI3","Irani","581.000","7,11","+1,14%"
"ABCB4","Banco ABC Brasil","561.300","19,55","+0,21%"
"MATD3","Mater Dei","561.200","3,60","+0,84%"
"JALL3","Jalles Machado","555.700","4,53","+1,12%"
"PRNR3","Priner","532.500","14,25","+4,24%"
"MDIA3","M. Dias Branco","526.000","20,20","-1,99%"
"TFCO4","Track & Field","521.400","9,00","+1,12%"
"PDGR3","PDG Realty","520.700","0,01","+0,00%"
"NEOE3","Neoenergia","516.000","18,10","-0,55%"
"TUPY3","Tupy","504.100","21,69","+2,80%"
"WIZC3","Wiz Soluções","502.900","5,77","+4,91%"
"TTEN3","3tentos","498.300","14,58","-0,21%"
"PTBL3","Portobello","463.700","3,42","-0,87%"
"SAPR11","Sanepar","461.200","25,54","+0,20%"
"CASH3","Méliuz","437.400","3,07","-2,23%"
"ELMD3","Eletromidia","422.000","29,45","+0,10%"
"AERI3","Aeris Energy","407.300","6,68","-2,20%"
"ITUB3","Itaú Unibanco","402.100","28,48","+0,28%"
"ORVR3","Orizon","390.500","38,67","+0,73%"
"DASA3","Dasa","389.800","1,84","-0,54%"
"LAVV3","Lavvi Incorporadora","380.700","7,87","+1,94%"
"SOJA3","Boa Safra Sementes","379.500","10,15","-0,29%"
"ESPA3","Espaçolaser","373.300","0,75","-1,32%"
"AGXY3","AgroGalaxy","359.700","0,57","-1,72%"
"SEQL3","Sequoia Logística","355.100","2,67","-2,20%"
"TRIS3","Trisul","351.300","5,16","+1,98%"
"ALUP11","Alupar","341.100","27,02","-0,55%"
"BMGB4","Banco BMG","332.500","3,73","+0,00%"
"TAEE4","Taesa","289.700","10,77","-0,09%"
"FESA4","Ferbasa","285.900","7,75","+1,44%"
"TASA4","Taurus","281.600","7,98","-0,25%"
"MBLY3","Mobly","263.000","1,54","+1,99%"
"ARML3","Armac","255.400","4,88","-2,20%"
"SHUL4","Schulz","247.200","5,83","+0,52%"
"LEVE3","Mahle Metal Leve","247.000","27,57","+2,07%"
"MELK3","Melnick","235.100","3,66","+1,10%"
"LIGT3","Light","213.800","3,94","-1,01%"
"BRST3","Brisanet","204.000","2,58","+1,18%"
"BMOB3","Bemobi","203.200","13,15","+0,23%"
"MEAL3","IMC Alimentação","200.400","0,97","+3,19%"
"USIM3","Usiminas","200.300","5,31","+3,51%"
"PNVL3","Dimed","190.600","8,23","+0,00%"
"TAEE3","Taesa","190.300","10,72","+0,19%"
"TECN3","Technos","179.100","5,55","-0,72%"
"FIQE3","Unifique","178.900","3,38","+0,30%"
"INEP3","Inepar","176.900","1,56","+17,29%"
"TGMA3","Tegma","174.700","29,15","+0,69%"
"DESK3","Desktop","163.500","10,30","+1,98%"
"BLAU3","Blau Farmacêutica","157.800","12,48","-0,64%"
"KLBN3","Klabin","155.800","4,78","+1,06%"
"BRBI11","BR Partners","153.900","13,18","+1,31%"
"HBOR3","Helbor","153.400","1,50","+4,17%"
"POMO3","Marcopolo","149.400","6,29","-1,41%"
"AGRO3","BrasilAgro","147.800","22,22","+0,54%"
"ROMI3","Indústrias ROMI","147.000","9,21","+1,32%"
"LPSB3","Lopes","144.600","1,29","-0,77%"
"FRAS3","Fras-le","132.400","21,38","+0,71%"
"VITT3","Vittia","128.300","5,09","+1,39%"
"LUPA3","Lupatech","124.700","1,28","-0,78%"
"HBRE3","HBR Realty","115.700","3,02","-1,63%"
"NGRD3","Neogrid","106.800","21,47","+7,14%"
"VTRU3","VITRUBREPCOM","99.800","5,90","+1,72%"
"AMAR3","Lojas Marisa","98.900","1,09","+0,93%"
"INEP4","Inepar","92.300","1,49","+12,03%"
"CMIG3","Cemig","90.500","14,61","+0,21%"
"PFRM3","Profarma","89.000","6,24","+2,46%"
"ALPK3","Estapar","86.700","2,51","+0,00%"
"SAPR3","Sanepar","81.900","5,06","+0,00%"
"PINE4","Banco Pine","77.100","4,38","-0,45%"
"UNIP6","Unipar","77.000","47,60","+0,25%"
"ITSA3","Itaúsa","63.600","9,30","-0,11%"
"RNEW3","Renova Energia","62.400","0,91","+1,11%"
"TCSA3","Tecnisa","59.400","1,46","-1,35%"
"SHOW3","Time For Fun","57.000","0,72","-2,70%"
"BIOM3","Biomm","55.000","9,41","-0,95%"
"SCAR3","São Carlos","54.200","16,58","-0,18%"
"IGTI3","Iguatemi","52.200","2,05","-0,97%"
"IGTI3","Jereissati Participações","52.200","2,05","-0,97%"
"ETER3","Eternit","50.200","5,15","+0,39%"
"RNEW4","Renova Energia","50.100","0,88","-1,12%"
"DEXP3","Dexxos","50.000","8,76","+1,86%"
"AMBP3","Ambipar","46.300","120,32","+0,29%"
"VIVR3","Viver","40.900","1,07","-1,83%"
"BOBR4","Bombril","40.500","1,91","+1,60%"
"LAND3","Terra Santa","40.300","14,19","+1,36%"
"SANB4","Banco Santander","36.900","13,11","+1,55%"
"CSUD3","CSU Cardsystem","35.500","16,18","+0,62%"
"DMVF3","D1000 Varejo Farma","34.000","5,68","+2,16%"
"GGBR3","Gerdau","32.700","16,25","+0,68%"
"SANB3","Banco Santander","32.300","11,75","+0,60%"
"ALLD3","Allied","31.700","6,78","+0,15%"
"FHER3","Fertilizantes Heringer","30.200","5,37","-3,24%"
"AALR3","Alliança","29.800","12,09","+4,22%"
"CAMB3","Cambuci","28.700","11,20","+1,08%"
"ATMP3","Atma","25.400","1,11","+0,00%"
"GOAU3","Metalúrgica Gerdau","23.900","9,87","+0,92%"
"BRAP3","Bradespar","23.400","15,20","+0,40%"
"LVTC3","WDC Networks","21.600","2,23","-1,76%"
"LOGN3","Log-In","19.500","20,07","+1,11%"
"RAPT3","Randon","19.300","7,89","+0,64%"
"TRAD3","Traders Club","18.100","6,11","+2,00%"
"OFSA3","Ourofino Saúde Animal","15.600","18,35","+2,63%"
"DOTZ3","Dotz","15.000","3,25","-2,69%"
"EALT4","Electro Aço Altona","14.900","13,88","+0,73%"
"UCAS3","Unicasa","14.700","1,77","-1,67%"
"EUCA4","Eucatex","14.100","13,60","+0,15%"
"KRSA3","Kora Saúde","14.100","8,50","-0,35%"
"COCE5","Coelce","13.300","23,48","-2,57%"
"BEES3","Banestes","13.300","8,22","-0,24%"
"BMEB4","Banco Mercantil do Brasil","12.800","38,09","+0,58%"
"RDNI3","RNI","11.800","2,29","-4,58%"
"ALUP4","Alupar","11.500","8,97","-0,33%"
"JFEN3","João Fortes","10.300","2,45","+0,00%"
"EQPA3","Equatorial Energia Pará","10.100","5,36","+0,00%"
"AZEV11","Azevedo & Travassos","10.100","0,28","+3,70%"
"EMAE4","EMAE","9.300","43,63","+14,82%"
"PDTC3","Padtec","8.700","1,14","+0,88%"
"BRKM3","Braskem","8.600","14,29","-0,63%"
